CO_UF;UF;SIG_UF;CO_MUNICIPIO;MUNICIPIO;CO_REGIAO;CO_MESORREGIAO;CO_MICRORREGIAO;CO_ENTIDADE;NO_ENTIDADE;POPULACAO_ESTIMADA;N_MATRICULA_MUN;N_MATRICULA_ENT;N_MATRICULA_INTEGRAL_ENT;N_EJA_MUN;N_EJA_ENT;PROPORCAO_MATRICULA_POPULACAO_MUN;PROPORCAO_EJA_MATRICULA_MUN;PROPORCAO_ENT_MATRICULA;PROPORCAL_INTEGRAL_ENT
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53009002;CEF 411 DE SAMAMBAIA;3015268;720439;1418;NULL;469020;384;2.38930337203857E+16;6.51019725472941E+15;0.0019682443621181;NULL
52;Goias;GO;5208707;Goiânia;5;5203;52010;52102521;COLEGIO RECANTO DO SABER;1516113;279830;474;NULL;130490;NULL;1.84570675140969E+16;4.66318836436408E+15;0.00169388557338384;NULL
52;Goias;GO;5218805;Rio Verde;5;5205;52013;52054209;COLEGIO ESTADUAL MARTINS BORGES;235647;48352;1096;NULL;24520;19;2.05188268893727E+16;507114493712773;0.0226671078755791;NULL
52;Goias;GO;5221858;Valparaíso de Goiás;5;5204;52012;52047300;COLEGIO ESTADUAL DESEMBARGADOR DILERMANDO MEIRELES;168468;41597;613;NULL;27250;65;2.46913360400788E+15;6.55095319373993E+15;0.0147366396615141;NULL
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53011589;CEF 30 DE CEILANDIA;3015268;720439;785;NULL;469020;NULL;2.38930337203857E+16;6.51019725472941E+15;0.00108961341626425;NULL
53;Distrito Federal;DF;5300108;Brasília;5;5301;53001;53005015;CEM 01 DE BRAZLANDIA;3015268;720439;1289;NULL;469020;NULL;2.38930337203857E+16;6.51019725472941E+15;0.00178918687078295;NULL
50;Mato Grosso do Sul;MS;5007406;Rio Verde de Mato Grosso;5;5002;50003;50004158;ESCOLA MUNICIPAL POLO DR CESAR GALVAO;19746;4862;548;0;1780;NULL;2.46227083966373E+16;3.66104483751543E+15;0.112710818593172;0
52;Goias;GO;5220207;São Miguel do Araguaia;5;5201;52001;52001199;COLEGIO ESTADUAL DE SAO MIGUEL DO ARAGUAIA;21993;5595;892;NULL;3290;197;2.54399126994953E+16;5.88025022341376E+16;0.159428060768543;NULL
51;Mato Grosso;MT;5105176;Juruena;5;5101;51001;51194830;UNIDADE DE EDUCACAO INFANTIL JARDIM ENCANTADO;15865;2903;272;31;1330;NULL;1.82981405609833E+16;4.58146744746814E+15;0.0936961763692732;0.113970588235294
52;Goias;GO;5210406;Itaberaí;5;5203;52007;52023540;ESCOLA MUNICIPALIZADA SAO BENEDITO;42900;10490;347;132;3200;NULL;2.44522144522145E+16;3.05052430886559E+16;0.0330791229742612;0.371830985915493
